season,episode_number,title,airdate,rating,total_votes,desc
7,10,Hide,2013-04-20,7.7,5086,The Doctor and Clara arrive at a supposedly haunted mansion where they find a ghost hunter and a psychic who are on the search for a legendary ghost known as 'the witch of the well'
7,11,Journey to the Centre of the TARDIS,2013-04-27,7.5,5138,"After the TARDIS is caught accidentally by an outer space trash collector, Clara is trapped deep inside of it where she finds herself on a journey through the doctor's past and her future."
7,12,The Crimson Horror,2013-05-04,7.3,4910,"When they find a picture of the Doctor in a recently dead man's eye, it's up to Madame Vastra, Jenny and Strax to save The Doctor and find out what sinister secrets are going on at Sweetsville, Yorkshire."
7,13,Nightmare in Silver,2013-05-11,7.3,4937,"The Doctor takes Clara and the children she babysits to a rundown amusement park in space where Cybermen are hiding, and ready to invade the most precious place in the universe, The Doctor's mind."
7,14,The Name of the Doctor,2013-05-18,9.0,7488,"The Doctor's friends are being kidnapped, which leads him to the fields of Trenzalore, where his greatest secret will be revealed and Clara's mystery will be solved."
8,0,The Time of the Doctor,2013-12-25,8.4,6681,"The Doctor's worst enemies, The Daleks, The Cybermen, The Angels and The Silence, return, as the doctor's eleventh life comes to a close, and his twelfth life begins."
8,1,Deep Breath,2014-08-23,7.9,7684,"When the newly-regenerated doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions."
8,2,Into the Dalek,2014-08-30,7.6,6088,"The Doctor's greatest enemy surrounds a rebel ship. To save everyone, he and Clara must choose to venture into the most dangerous place in the universe. The Doctor is forced to examine his conscience and ask if he is a good man."
8,3,Robot of Sherwood,2014-09-06,7.0,6230,"In Sherwood Forest, the Doctor uncovers a sinister alien plot and forms an alliance with Robin Hood. With Nottingham at stake, the Doctor must decide who is real and who is fake."
8,4,Listen,2014-09-13,8.8,7763,"When ghosts of past and future crowd into their lives, The Doctor and Clara are thrown into an adventure that takes them to the very end of the universe."
8,5,Time Heist,2014-09-20,7.9,5722,"The Doctor and Clara wake up in a room with two other people, unable to remember how they got there. As it turns out Someone known as the Architect has employed them to Break into the Universe's most secure bank."
8,6,The Caretaker,2014-09-27,7.3,5051,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet."
8,7,Kill the Moon,2014-10-04,6.8,5797,"In the near future, the Doctor and Clara find themselves on a space shuttle making a suicide mission to the Moon. Crash-landing on the lunar surface they find the most terrible things."
8,8,Mummy on the Orient Express,2014-10-11,8.4,5668,"On the most beautiful train in history, speeding amongst the stars of the future, a deadly and immortal creature is stalking the passengers."
8,9,Flatline,2014-10-18,8.4,5380,"A problem happens with the Tardis, trapping the Doctor inside and leaving Clara to fend for herself against a two dimensional enemy."
8,10,In the Forest of the Night,2014-10-25,6.1,5241,"One morning in London, and every city and town in the world, the human race wakes up to the most surprising invasion yet: the trees have moved back in. Everywhere, in every land, a forest has grown and taken back the Earth."
8,11,Dark Water,2014-11-01,8.6,5678,"In the mysterious world of the Nethersphere, plans have been drawn. Old friends and old enemies manoeuvre around the Doctor, and an impossible choice is looming over him."
8,12,Death in Heaven,2014-11-08,7.8,5433,"With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role. As the Doctor faces his greatest challenge, sacrifices must be made before the day is won."
9,0,Last Christmas,2014-12-25,8.2,5387,"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!"
9,1,The Magician's Apprentice,2015-09-19,8.4,5882,"When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend, the Doctor. But where is he and what is he hiding from?"
9,2,The Witch's Familiar,2015-09-26,8.4,5240,"Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire; no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?"
9,3,Under the Lake,2015-10-03,8.2,5019,The Doctor and Clara find themselves on a underwater station where the crew live in fear of deadly ghosts which have taken over the station.
9,4,Before the Flood,2015-10-10,8.0,4732,"In a town that never was, the Doctor and his friends are being stalked by a mysterious figure. With the past and future in the balance, can the Doctor stop the evil Fisher King? And more importantly, who composed Beethoven's 5th."
9,5,The Girl Who Died,2015-10-17,7.5,4779,"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire."
9,6,The Woman Who Lived,2015-10-24,7.4,4640,"England, 1651. A deadly highwayman known only as 'The Knightmare' plagues the dark streets of London, his fire-breathing accomplice by his side. There's something clearly more than human here, and that includes the loot as much as the outlaws. Who are these creatures, and are they enemies to be fought, or friends who might possibly save the Doctor from certain doom on the gallows?"
9,7,The Zygon Invasion,2015-10-31,7.7,4511,"Zygons, a shape-shifting alien race, and humans live in peace together on earth, but a group of rogue zygons threaten the peace between humans and zygons."
9,8,The Zygon Inversion,2015-11-07,8.5,4899,"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?"
9,9,Sleep No More,2015-11-14,5.9,4971,"Vision recovered from the wreckage of Le Verrier Space Station shows how the Doctor and Clara became entangled in a rescue mission. As the footage plays out, a horrifying secret is uncovered."
9,10,Face the Raven,2015-11-21,8.5,5425,"The Doctor and Clara are called back to Earth when Rigsy discovers a strange tattoo on the back of his neck that appears to be counting down to zero. Their investigation leads them to a hidden street in the middle of London, the discovery that Rigsy has been issued a death sentence, and one of them facing the choice of having to make the ultimate sacrifice; to face the Raven!"
9,11,Heaven Sent,2015-11-28,9.6,10632,"Trapped in a world unlike any other he has seen, the Doctor faces the greatest challenge of his many lives. One final test. And he must face it alone..."
9,12,Hell Bent,2015-12-05,8.7,6132,"If you took everything from him, betrayed him, trapped him, and broke both his hearts... how far might the Doctor go? Returning to Gallifrey, the Doctor faces the Time Lords in a struggle that will take him to the end of time itself. Who is the Hybrid? And what is the Doctor's confession?"
9,13,The Husbands of River Song,2015-12-25,8.5,5260,"When a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Song's squad and hurled into a chase across the galaxy."
10,0,The Return of Doctor Mysterio,2016-12-25,7.4,4969,"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?"
10,1,The Pilot,2017-04-15,7.8,4932,The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.
10,2,Smile,2017-04-22,7.2,4213,"The Doctor brings Bill to a future human colony, where cute EmojiBots work as willing servants and make sure everybody's happy, but if they're not happy ,they're harvested, so Bill and The Doctor better smile, or else."
10,3,Thin Ice,2017-04-29,7.3,4042,The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.
